Lineups,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,PACE,PIE
".T. Jones, .J. Jackson Jr., .B. Clarke, .J. Konchar, .D. Bane",MEM,21,113,101.2,111.2,-10.0,63.2,1.96,16.5,25.4,67.2,45.6,0.1,46.7,51.3,103.43,46.9
".D. Cousins, .A. Rivers, .J. Green, .B. Forbes, .B. Hyland",DEN,11,112,121.9,109.1,12.8,64.3,1.85,18.9,34.5,72.3,54.1,0.1,59.8,63.0,99.31,53.3
".M. Smart, .J. Brown, .J. Tatum, .R. Williams III, .G. Williams",BOS,22,109,126.8,95.8,31.0,56.1,1.94,19.4,30.7,75.0,55.1,0.1,63.0,65.4,104.66,64.2
".D. McDermott, .D. Murray, .D. White, .D. Eubanks, .K. Johnson",SAS,12,108,98.2,109.6,-11.3,71.3,2.0,20.3,17.4,79.2,50.4,0.1,50.8,53.3,101.35,49.3
".J. Allen, .D. Garland, .D. Wade, .I. Okoro, .E. Mobley",CLE,9,108,121.0,98.6,22.4,54.6,1.51,18.2,26.9,77.1,55.0,0.2,62.0,64.0,96.07,60.2
".H. Barnes, .M. Harkless, .R. Holmes, .D. Fox, .T. Haliburton",SAC,10,106,113.5,109.6,3.9,58.8,1.97,19.1,19.8,74.2,49.3,0.1,56.2,59.3,101.64,50.8
".D. DeRozan, .N. Vucevic, .Z. LaVine, .C. White, .J. Green",CHI,11,105,119.5,112.1,7.3,64.3,2.1,20.7,23.7,63.7,47.4,0.1,61.3,64.4,101.12,54.4
".D. Favors, .S. Gilgeous-Alexander, .D. Bazley, .L. Dort, .J. Giddey",OKC,11,105,95.8,117.2,-21.4,67.1,1.66,17.8,25.4,71.7,48.5,0.1,47.1,50.0,98.39,40.8
".D. Russell, .K. Towns, .M. Beasley, .A. Edwards, .J. McDaniels",MIN,23,104,113.2,101.4,11.9,56.5,1.63,16.9,27.6,77.6,51.7,0.1,55.6,59.8,103.48,55.0
".P. Siakam, .F. VanVleet, .C. Boucher, .G. Trent Jr., .S. Barnes",TOR,11,104,122.9,99.5,23.3,62.1,2.68,19.8,30.0,69.0,50.9,0.1,56.7,60.3,97.74,61.5
".A. Horford, .D. Schroder, .M. Smart, .J. Tatum, .R. Williams III",BOS,12,103,94.2,111.3,-17.0,50.0,1.41,13.8,27.0,75.0,48.8,0.1,46.0,48.4,95.96,40.2
".D. Russell, .K. Towns, .M. Beasley, .J. Vanderbilt, .A. Edwards",MIN,18,103,135.2,121.0,14.2,64.5,2.88,22.1,25.8,75.3,50.0,0.1,66.1,68.7,101.66,53.1
".T. Hardaway Jr., .D. Powell, .K. Porzingis, .D. Finney-Smith, .L. Doncic",DAL,11,103,95.8,113.0,-17.1,63.6,1.96,16.7,24.0,83.9,49.0,0.1,45.6,48.7,100.63,41.6
".D. Dedmon, .C. Martin, .G. Vincent, .M. Strus, .T. Herro",MIA,16,101,109.5,104.4,5.1,53.0,1.42,16.6,25.9,59.5,45.3,0.2,59.9,61.8,95.76,51.7
".R. Bullock, .D. Finney-Smith, .M. Kleber, .J. Brunson, .L. Doncic",DAL,19,101,105.8,103.4,2.4,51.3,1.58,14.2,35.7,68.4,52.0,0.1,49.2,53.0,97.88,51.4
".M. Bamba, .W. Carter Jr., .C. Anthony, .R. Hampton, .F. Wagner",ORL,11,100,106.7,112.6,-6.0,63.0,1.76,18.0,24.2,77.4,51.7,0.1,53.1,56.5,101.28,47.3
".E. Gordon, .C. Wood, .A. Brooks, .G. Mathews, .J. Tate",HOU,9,97,111.4,113.3,-2.0,65.9,2.24,19.0,24.5,71.6,47.2,0.1,52.9,55.6,104.01,49.7
".M. Plumlee, .K. Oubre Jr., .T. Rozier, .M. Bridges, .L. Ball",CHA,18,97,105.6,113.8,-8.2,67.5,2.0,18.8,26.1,68.0,46.0,0.1,50.8,54.1,106.89,45.5
".K. Lowry, .P. Tucker, .D. Dedmon, .D. Robinson, .T. Herro",MIA,18,96,114.7,109.7,5.0,70.1,1.93,19.4,29.0,74.2,50.8,0.1,56.6,59.2,98.13,51.2
".S. Adams, .D. Brooks, .J. Jackson Jr., .J. Morant, .D. Bane",MEM,10,96,117.0,94.6,22.4,56.4,2.12,18.5,28.3,78.3,54.1,0.1,55.0,58.2,101.85,62.0
".D. DeRozan, .N. Vucevic, .Z. LaVine, .A. Caruso, .L. Ball",CHI,16,95,108.6,96.0,12.5,53.9,1.41,15.2,23.9,77.6,52.8,0.1,52.4,58.6,103.75,59.4
".J. Valanciunas, .B. Ingram, .D. Graham, .N. Alexander-Walker, .H. Jones",NOP,15,95,106.3,98.6,7.7,53.9,1.45,16.9,28.4,71.4,50.2,0.2,53.2,55.1,104.55,54.3
".T. Hardaway Jr., .D. Powell, .D. Finney-Smith, .J. Brunson, .L. Doncic",DAL,19,95,119.6,107.3,12.3,47.7,1.52,15.4,27.3,77.3,52.3,0.1,57.4,61.9,103.45,53.1
